id,sigma,misorientation_angle_deg,axis_h,axis_k,axis_l,plane_h,plane_k,plane_l,gb_type
1,3,70.52877937,1,1,0,-1,1,1,tilt
2,3,70.52877937,1,1,0,-1,1,-2,tilt
3,3,70.52877937,1,1,0,0,-1,1,tilt
4,3,70.52877937,1,1,0,1,1,0,twist
5,5,36.86989765,1,0,0,-1,0,0,tilt
6,5,36.86989765,1,0,0,0,-3,-1,tilt
7,5,36.86989765,1,0,0,0,-1,-2,tilt
8,7,38.2132107,1,1,1,1,1,1,twist
9,7,38.2132107,1,1,1,1,-3,2,tilt
10,9,38.94244127,1,1,0,-2,2,1,tilt
11,9,38.94244127,1,1,0,-1,-1,0,tilt
12,9,38.94244127,1,1,0,-1,1,-4,tilt
13,11,50.47880364,1,1,0,-1,1,-3,tilt
14,11,50.47880364,1,1,0,-1,-1,0,tilt
15,11,50.47880364,1,1,0,-3,3,2,tilt
16,13,22.61986495,1,0,0,-1,0,0,tilt
17,13,22.61986495,1,0,0,0,-5,-1,tilt
18,13,22.61986495,1,0,0,0,-2,-3,tilt
19,15,48.1896851,2,1,0,-1,2,-5,tilt
20,15,48.1896851,2,1,0,2,1,0,twist
21,17,28.07248694,1,0,0,-1,0,0,tilt
22,17,28.07248694,1,0,0,0,-3,-5,tilt
23,17,28.07248694,1,0,0,0,1,-4,tilt
24,19,26.52535202,1,1,0,-3,3,1,tilt
25,19,26.52535202,1,1,0,-1,-1,0,tilt
26,19,26.52535202,1,1,0,-1,1,-6,tilt
27,21,21.7867893,1,1,1,1,-5,4,tilt
28,21,21.7867893,1,1,1,1,1,1,twist
29,23,163.0425737,2,1,0,-3,6,-1,tilt
30,23,163.0425737,2,1,0,2,1,0,twist
31,25,16.26020471,1,0,0,-1,0,0,tilt
32,25,16.26020471,1,0,0,0,-7,-1,tilt
33,25,16.26020471,1,0,0,0,-3,-4,tilt
34,27,31.5863381,1,1,0,-1,1,-5,tilt
35,27,31.5863381,1,1,0,-1,-1,0,tilt
36,27,31.5863381,1,1,0,-5,5,2,tilt
37,29,43.60281897,1,0,0,-1,0,0,tilt
38,29,43.60281897,1,0,0,0,-3,-7,tilt
39,29,43.60281897,1,0,0,0,2,-5,tilt
40,31,17.89655113,1,1,1,1,1,1,twist
41,31,17.89655113,1,1,1,1,-6,5,tilt
42,33,20.04997572,1,1,0,-4,4,1,tilt
43,33,20.04997572,1,1,0,-1,-1,0,tilt
44,33,20.04997572,1,1,0,-1,1,-8,tilt
45,35,106.6015496,2,1,0,2,1,0,twist
46,35,106.6015496,2,1,0,3,-6,5,tilt
47,37,18.92464442,1,0,0,-1,0,0,tilt
48,37,18.92464442,1,0,0,0,-5,-7,tilt
49,37,18.92464442,1,0,0,0,1,-6,tilt
50,39,32.2042275,1,1,1,-7,5,2,tilt
51,39,32.2042275,1,1,1,1,1,1,twist
52,41,12.68038349,1,0,0,-1,0,0,tilt
53,41,12.68038349,1,0,0,0,-9,-1,tilt
54,41,12.68038349,1,0,0,0,-4,-5,tilt
55,43,80.63108442,1,1,0,-3,3,-5,tilt
56,43,80.63108442,1,1,0,-1,-1,0,tilt
57,43,80.63108442,1,1,0,-5,5,6,tilt
58,45,83.62062979,2,1,0,2,-4,5,tilt
59,45,83.62062979,2,1,0,2,1,0,twist
60,47,87.56114531,2,1,0,2,1,0,twist
61,47,87.56114531,2,1,0,-3,6,-7,tilt
62,49,43.5735786,1,1,1,1,1,1,twist
63,49,43.5735786,1,1,1,-5,-3,8,tilt
64,51,16.09893395,1,1,0,-5,5,1,tilt
65,51,16.09893395,1,1,0,-1,-1,0,tilt
66,51,16.09893395,1,1,0,-1,1,-10,tilt
67,53,31.8907918,1,0,0,-1,0,0,tilt
68,53,31.8907918,1,0,0,0,-5,-9,tilt
69,53,31.8907918,1,0,0,0,2,-7,tilt
70,55,38.57265082,2,1,1,2,1,1,twist
71,55,38.57265082,2,1,1,2,-9,5,tilt
72,57,44.00342735,1,1,0,-2,2,-7,tilt
73,57,44.00342735,1,1,0,-1,-1,0,tilt
74,57,44.00342735,1,1,0,-7,7,4,tilt
75,59,45.97953555,1,1,0,-5,5,3,tilt
76,59,45.97953555,1,1,0,-1,-1,0,tilt
77,59,45.97953555,1,1,0,-3,3,-10,tilt
78,61,10.38885782,1,0,0,-1,0,0,tilt
79,61,10.38885782,1,0,0,0,-11,-1,tilt
80,61,10.38885782,1,0,0,0,-5,-6,tilt
81,63,22.98091981,2,1,0,2,1,0,twist
82,63,22.98091981,2,1,0,-1,2,-11,tilt
83,65,14.2500327,1,0,0,-1,0,0,tilt
84,65,14.2500327,1,0,0,0,-7,-9,tilt
85,65,14.2500327,1,0,0,0,1,-8,tilt
86,67,62.43939689,1,1,0,-3,3,-7,tilt
87,67,62.43939689,1,1,0,-1,-1,0,tilt
88,67,62.43939689,1,1,0,-7,7,6,tilt
89,69,31.23225881,2,1,0,2,1,0,twist
90,69,31.23225881,2,1,0,1,-2,8,tilt
91,71,159.4914172,3,1,1,3,1,1,twist
92,71,159.4914172,3,1,1,-5,9,6,tilt
93,73,41.11209044,1,0,0,-1,0,0,tilt
94,73,41.11209044,1,0,0,0,-5,-11,tilt
95,73,41.11209044,1,0,0,0,3,-8,tilt
96,75,23.07391807,2,1,1,2,1,1,twist
97,75,23.07391807,2,1,1,-1,7,-5,tilt
98,77,72.62038319,2,1,1,2,1,1,twist
99,77,72.62038319,2,1,1,-3,8,-2,tilt
100,79,33.99217611,1,1,1,1,1,1,twist
101,79,33.99217611,1,1,1,3,-10,7,tilt
102,81,77.88488254,1,1,0,-4,4,-7,tilt
103,81,77.88488254,1,1,0,-1,-1,0,tilt
104,81,77.88488254,1,1,0,-7,7,8,tilt
105,83,17.86028367,1,1,0,-1,1,-9,tilt
106,83,17.86028367,1,1,0,-1,-1,0,tilt
107,83,17.86028367,1,1,0,-9,9,2,tilt
108,85,8.79741071,1,0,0,-1,0,0,tilt
